,question,question_id,question_type,answer
2,How should AbobotulinumtoxinA Injection be used and what is the dosage ?,0000004-3,usage,
3,Are there safety concerns or special precautions about AbobotulinumtoxinA Injection ?,0000004-5,precautions,
4,What special dietary instructions should I follow with AbobotulinumtoxinA Injection ?,0000004-6,dietary,
5,What are the side effects or risks of AbobotulinumtoxinA Injection ?,0000004-7,side effects,
6,What to do in case of emergency or overdose of AbobotulinumtoxinA Injection ?,0000004-8,emergency or overdose,
7,What other information should I know about AbobotulinumtoxinA Injection ?,0000004-9,other information,
8,What are the brand names of AbobotulinumtoxinA Injection ?,0000004-10,brand names,
0,Who should get Acamprosate and why is it prescribed ?,0000005-1,indication,
1,How should Acamprosate be used and what is the dosage ?,0000005-2,usage,
2,Are there safety concerns or special precautions about Acamprosate ?,0000005-4,precautions,
3,What special dietary instructions should I follow with Acamprosate ?,0000005-5,dietary,
4,What should I do if I forget a dose of Acamprosate ?,0000005-6,forget a dose,
5,What are the side effects or risks of Acamprosate ?,0000005-7,side effects,
6,What should I know about storage and disposal of Acamprosate ?,0000005-8,storage and disposal,
7,What to do in case of emergency or overdose of Acamprosate ?,0000005-9,emergency or overdose,
8,What other information should I know about Acamprosate ?,0000005-10,other information,
9,What are the brand names of Acamprosate ?,0000005-11,brand names,
0,Who should get Acarbose and why is it prescribed ?,0000006-1,indication,
1,How should Acarbose be used and what is the dosage ?,0000006-2,usage,
2,Are there safety concerns or special precautions about Acarbose ?,0000006-4,precautions,
3,What special dietary instructions should I follow with Acarbose ?,0000006-5,dietary,
4,What should I do if I forget a dose of Acarbose ?,0000006-6,forget a dose,
5,What are the side effects or risks of Acarbose ?,0000006-7,side effects,
6,What should I know about storage and disposal of Acarbose ?,0000006-8,storage and disposal,
7,What to do in case of emergency or overdose of Acarbose ?,0000006-9,emergency or overdose,
8,What other information should I know about Acarbose ?,0000006-10,other information,
9,What are the brand names of Acarbose ?,0000006-11,brand names,
0,Who should get Acebutolol and why is it prescribed ?,0000007-1,indication,
1,How should Acebutolol be used and what is the dosage ?,0000007-2,usage,
2,Are there safety concerns or special precautions about Acebutolol ?,0000007-4,precautions,
3,What special dietary instructions should I follow with Acebutolol ?,0000007-5,dietary,
4,What should I do if I forget a dose of Acebutolol ?,0000007-6,forget a dose,
5,What are the side effects or risks of Acebutolol ?,0000007-7,side effects,
6,What should I know about storage and disposal of Acebutolol ?,0000007-8,storage and disposal,
7,What to do in case of emergency or overdose of Acebutolol ?,0000007-9,emergency or overdose,
8,What other information should I know about Acebutolol ?,0000007-10,other information,
9,What are the brand names of Acebutolol ?,0000007-11,brand names,
0,What important warning or information should I know about Acetaminophen ?,0000008-1,important warning,
1,Who should get Acetaminophen and why is it prescribed ?,0000008-2,indication,
2,How should Acetaminophen be used and what is the dosage ?,0000008-3,usage,
3,Are there safety concerns or special precautions about Acetaminophen ?,0000008-5,precautions,
4,What special dietary instructions should I follow with Acetaminophen ?,0000008-6,dietary,
5,What should I do if I forget a dose of Acetaminophen ?,0000008-7,forget a dose,
6,What are the side effects or risks of Acetaminophen ?,0000008-8,side effects,
7,What should I know about storage and disposal of Acetaminophen ?,0000008-9,storage and disposal,
8,What to do in case of emergency or overdose of Acetaminophen ?,0000008-10,emergency or overdose,
9,What other information should I know about Acetaminophen ?,0000008-11,other information,
10,What are the brand names of Acetaminophen ?,0000008-12,brand names,
11,What are the brand names of combination products of Acetaminophen ?,0000008-13,brand names of combination products,
0,Are there safety concerns or special precautions about Acetaminophen and Codeine ?,0000009-1,precautions,
1,Who should get Acetaminophen and Codeine and why is it prescribed ?,0000009-2,indication,
2,How should Acetaminophen and Codeine be used and what is the dosage ?,0000009-3,usage,
3,Are there safety concerns or special precautions about Acetaminophen and Codeine ?,0000009-4,precautions,
4,What should I do if I forget a dose of Acetaminophen and Codeine ?,0000009-5,forget a dose,
5,What are the side effects or risks of Acetaminophen and Codeine ?,0000009-6,side effects,
6,What should I know about storage and disposal of Acetaminophen and Codeine ?,0000009-7,storage and disposal,
7,What to do in case of emergency or overdose of Acetaminophen and Codeine ?,0000009-8,emergency or overdose,
8,What other information should I know about Acetaminophen and Codeine ?,0000009-9,other information,
9,What are the brand names of combination products of Acetaminophen and Codeine ?,0000009-10,brand names of combination products,
0,Who should get Acetaminophen Injection and why is it prescribed ?,0000010-1,indication,
1,How should Acetaminophen Injection be used and what is the dosage ?,0000010-2,usage,
2,Are there safety concerns or special precautions about Acetaminophen Injection ?,0000010-4,precautions,
3,What special dietary instructions should I follow with Acetaminophen Injection ?,0000010-5,dietary,
4,What are the side effects or risks of Acetaminophen Injection ?,0000010-6,side effects,
5,What should I know about storage and disposal of Acetaminophen Injection ?,0000010-7,storage and disposal,
6,What to do in case of emergency or overdose of Acetaminophen Injection ?,0000010-8,emergency or overdose,
7,What other information should I know about Acetaminophen Injection ?,0000010-9,other information,
8,What are the brand names of Acetaminophen Injection ?,0000010-10,brand names,
0,"Who should get Acetaminophen, Butalbital, and Caffeine and why is it prescribed ?",0000011-1,indication,
1,"How should Acetaminophen, Butalbital, and Caffeine be used and what is the dosage ?",0000011-2,usage,
2,"Are there safety concerns or special precautions about Acetaminophen, Butalbital, and Caffeine ?",0000011-3,precautions,
3,"What special dietary instructions should I follow with Acetaminophen, Butalbital, and Caffeine ?",0000011-4,dietary,
4,"What should I do if I forget a dose of Acetaminophen, Butalbital, and Caffeine ?",0000011-5,forget a dose,
5,"What are the side effects or risks of Acetaminophen, Butalbital, and Caffeine ?",0000011-6,side effects,
6,"What should I know about storage and disposal of Acetaminophen, Butalbital, and Caffeine ?",0000011-7,storage and disposal,
7,"What to do in case of emergency or overdose of Acetaminophen, Butalbital, and Caffeine ?",0000011-8,emergency or overdose,
8,"What other information should I know about Acetaminophen, Butalbital, and Caffeine ?",0000011-9,other information,
9,"What are the brand names of combination products of Acetaminophen, Butalbital, and Caffeine ?",0000011-10,brand names of combination products,
0,Who should get Acetazolamide Oral and why is it prescribed ?,0000012-1,indication,
1,How should Acetazolamide Oral be used and what is the dosage ?,0000012-2,usage,
2,Are there safety concerns or special precautions about Acetazolamide Oral ?,0000012-3,precautions,
3,What should I do if I forget a dose of Acetazolamide Oral ?,0000012-4,forget a dose,
4,What are the side effects or risks of Acetazolamide Oral ?,0000012-5,side effects,
5,What should I know about storage and disposal of Acetazolamide Oral ?,0000012-6,storage and disposal,
6,What to do in case of emergency or overdose of Acetazolamide Oral ?,0000012-7,emergency or overdose,
7,What other information should I know about Acetazolamide Oral ?,0000012-8,other information,
8,What are the brand names of Acetazolamide Oral ?,0000012-9,brand names,
0,Who should get Acetylcysteine Oral Inhalation and why is it prescribed ?,0000013-1,indication,
1,How should Acetylcysteine Oral Inhalation be used and what is the dosage ?,0000013-2,usage,
2,Are there safety concerns or special precautions about Acetylcysteine Oral Inhalation ?,0000013-4,precautions,
3,What special dietary instructions should I follow with Acetylcysteine Oral Inhalation ?,0000013-5,dietary,
4,What should I do if I forget a dose of Acetylcysteine Oral Inhalation ?,0000013-6,forget a dose,
5,What are the side effects or risks of Acetylcysteine Oral Inhalation ?,0000013-7,side effects,
6,What should I know about storage and disposal of Acetylcysteine Oral Inhalation ?,0000013-8,storage and disposal,
7,What to do in case of emergency or overdose of Acetylcysteine Oral Inhalation ?,0000013-9,emergency or overdose,
8,What other information should I know about Acetylcysteine Oral Inhalation ?,0000013-10,other information,
9,What are the brand names of Acetylcysteine Oral Inhalation ?,0000013-11,brand names,
0,What important warning or information should I know about Acitretin ?,0000014-1,important warning,
1,Who should get Acitretin and why is it prescribed ?,0000014-2,indication,
2,How should Acitretin be used and what is the dosage ?,0000014-3,usage,
3,Are there safety concerns or special precautions about Acitretin ?,0000014-5,precautions,
4,What special dietary instructions should I follow with Acitretin ?,0000014-6,dietary,
5,What should I do if I forget a dose of Acitretin ?,0000014-7,forget a dose,
6,What are the side effects or risks of Acitretin ?,0000014-8,side effects,
7,What should I know about storage and disposal of Acitretin ?,0000014-9,storage and disposal,
8,What to do in case of emergency or overdose of Acitretin ?,0000014-10,emergency or overdose,
9,What other information should I know about Acitretin ?,0000014-11,other information,
10,What are the brand names of Acitretin ?,0000014-12,brand names,
0,Who should get Aclidinium Oral Inhalation and why is it prescribed ?,0000015-1,indication,
1,How should Aclidinium Oral Inhalation be used and what is the dosage ?,0000015-2,usage,
2,Are there safety concerns or special precautions about Aclidinium Oral Inhalation ?,0000015-4,precautions,
3,What special dietary instructions should I follow with Aclidinium Oral Inhalation ?,0000015-5,dietary,
4,What should I do if I forget a dose of Aclidinium Oral Inhalation ?,0000015-6,forget a dose,
5,What are the side effects or risks of Aclidinium Oral Inhalation ?,0000015-7,side effects,
6,What should I know about storage and disposal of Aclidinium Oral Inhalation ?,0000015-8,storage and disposal,
7,What to do in case of emergency or overdose of Aclidinium Oral Inhalation ?,0000015-9,emergency or overdose,
8,What other information should I know about Aclidinium Oral Inhalation ?,0000015-10,other information,
9,What are the brand names of Aclidinium Oral Inhalation ?,0000015-11,brand names,
0,Who should get Acyclovir and why is it prescribed ?,0000016-1,indication,
1,How should Acyclovir be used and what is the dosage ?,0000016-2,usage,
2,Are there safety concerns or special precautions about Acyclovir ?,0000016-4,precautions,
3,What special dietary instructions should I follow with Acyclovir ?,0000016-5,dietary,
4,What should I do if I forget a dose of Acyclovir ?,0000016-6,forget a dose,
5,What are the side effects or risks of Acyclovir ?,0000016-7,side effects,
6,What should I know about storage and disposal of Acyclovir ?,0000016-8,storage and disposal,
7,What to do in case of emergency or overdose of Acyclovir ?,0000016-9,emergency or overdose,
8,What other information should I know about Acyclovir ?,0000016-10,other information,
9,What are the brand names of Acyclovir ?,0000016-11,brand names,
0,What other information should I know about Acyclovir Injection ?,0000017-1,other information,
1,Are there safety concerns or special precautions about Acyclovir Injection ?,0000017-2,precautions,
2,What are the side effects or risks of Acyclovir Injection ?,0000017-4,side effects,
3,What should I know about storage and disposal of Acyclovir Injection ?,0000017-5,storage and disposal,
4,What to do in case of emergency or overdose of Acyclovir Injection ?,0000017-6,emergency or overdose,
5,What are the brand names of Acyclovir Injection ?,0000017-8,brand names,
0,Who should get Acyclovir Topical and why is it prescribed ?,0000018-1,indication,
1,How should Acyclovir Topical be used and what is the dosage ?,0000018-2,usage,
2,Are there safety concerns or special precautions about Acyclovir Topical ?,0000018-4,precautions,
3,What special dietary instructions should I follow with Acyclovir Topical ?,0000018-5,dietary,
4,What should I do if I forget a dose of Acyclovir Topical ?,0000018-6,forget a dose,
5,What are the side effects or risks of Acyclovir Topical ?,0000018-7,side effects,
6,What should I know about storage and disposal of Acyclovir Topical ?,0000018-8,storage and disposal,
7,What to do in case of emergency or overdose of Acyclovir Topical ?,0000018-9,emergency or overdose,
8,What other information should I know about Acyclovir Topical ?,0000018-10,other information,
9,What are the brand names of Acyclovir Topical ?,0000018-11,brand names,
10,What are the brand names of combination products of Acyclovir Topical ?,0000018-12,brand names of combination products,
0,What important warning or information should I know about Adalimumab Injection ?,0000019-1,important warning,
1,Who should get Adalimumab Injection and why is it prescribed ?,0000019-2,indication,
2,How should Adalimumab Injection be used and what is the dosage ?,0000019-3,usage,
3,Are there safety concerns or special precautions about Adalimumab Injection ?,0000019-5,precautions,
4,What special dietary instructions should I follow with Adalimumab Injection ?,0000019-6,dietary,
5,What should I do if I forget a dose of Adalimumab Injection ?,0000019-7,forget a dose,
6,What are the side effects or risks of Adalimumab Injection ?,0000019-8,side effects,
7,What should I know about storage and disposal of Adalimumab Injection ?,0000019-9,storage and disposal,
8,What to do in case of emergency or overdose of Adalimumab Injection ?,0000019-10,emergency or overdose,
9,What other information should I know about Adalimumab Injection ?,0000019-11,other information,
10,What are the brand names of Adalimumab Injection ?,0000019-12,brand names,
0,Who should get Adapalene and why is it prescribed ?,0000020-1,indication,
1,How should Adapalene be used and what is the dosage ?,0000020-2,usage,
2,Are there safety concerns or special precautions about Adapalene ?,0000020-4,precautions,
3,What special dietary instructions should I follow with Adapalene ?,0000020-5,dietary,
4,What should I do if I forget a dose of Adapalene ?,0000020-6,forget a dose,
5,What are the side effects or risks of Adapalene ?,0000020-7,side effects,
6,What should I know about storage and disposal of Adapalene ?,0000020-8,storage and disposal,
7,What to do in case of emergency or overdose of Adapalene ?,0000020-9,emergency or overdose,
8,What other information should I know about Adapalene ?,0000020-10,other information,
9,What are the brand names of Adapalene ?,0000020-11,brand names,
10,What are the brand names of combination products of Adapalene ?,0000020-12,brand names of combination products,
0,What important warning or information should I know about Adefovir ?,0000021-1,important warning,
1,Who should get Adefovir and why is it prescribed ?,0000021-2,indication,
2,How should Adefovir be used and what is the dosage ?,0000021-3,usage,
3,Are there safety concerns or special precautions about Adefovir ?,0000021-5,precautions,
4,What special dietary instructions should I follow with Adefovir ?,0000021-6,dietary,
5,What should I do if I forget a dose of Adefovir ?,0000021-7,forget a dose,
6,What are the side effects or risks of Adefovir ?,0000021-8,side effects,
7,What should I know about storage and disposal of Adefovir ?,0000021-9,storage and disposal,
8,What to do in case of emergency or overdose of Adefovir ?,0000021-10,emergency or overdose,
9,What other information should I know about Adefovir ?,0000021-11,other information,
10,What are the brand names of Adefovir ?,0000021-12,brand names,
0,What important warning or information should I know about Ado-trastuzumab Emtansine ?,0000022-1,important warning,
1,Who should get Ado-trastuzumab Emtansine and why is it prescribed ?,0000022-2,indication,
2,How should Ado-trastuzumab Emtansine be used and what is the dosage ?,0000022-3,usage,
3,Are there safety concerns or special precautions about Ado-trastuzumab Emtansine ?,0000022-5,precautions,
4,What special dietary instructions should I follow with Ado-trastuzumab Emtansine ?,0000022-6,dietary,
5,What are the side effects or risks of Ado-trastuzumab Emtansine ?,0000022-7,side effects,
6,What to do in case of emergency or overdose of Ado-trastuzumab Emtansine ?,0000022-8,emergency or overdose,
7,What other information should I know about Ado-trastuzumab Emtansine ?,0000022-9,other information,
8,What are the brand names of Ado-trastuzumab Emtansine ?,0000022-10,brand names,
0,Who should get Afatinib and why is it prescribed ?,0000023-1,indication,
1,How should Afatinib be used and what is the dosage ?,0000023-2,usage,
2,Are there safety concerns or special precautions about Afatinib ?,0000023-4,precautions,
3,What special dietary instructions should I follow with Afatinib ?,0000023-5,dietary,
4,What should I do if I forget a dose of Afatinib ?,0000023-6,forget a dose,
5,What are the side effects or risks of Afatinib ?,0000023-7,side effects,
6,What should I know about storage and disposal of Afatinib ?,0000023-8,storage and disposal,
7,What to do in case of emergency or overdose of Afatinib ?,0000023-9,emergency or overdose,
8,What other information should I know about Afatinib ?,0000023-10,other information,
9,What are the brand names of Afatinib ?,0000023-11,brand names,
0,Who should get Aflibercept Injection and why is it prescribed ?,0000024-1,indication,
1,How should Aflibercept Injection be used and what is the dosage ?,0000024-2,usage,
2,Are there safety concerns or special precautions about Aflibercept Injection ?,0000024-4,precautions,
3,What special dietary instructions should I follow with Aflibercept Injection ?,0000024-5,dietary,
4,What should I do if I forget a dose of Aflibercept Injection ?,0000024-6,forget a dose,
5,What are the side effects or risks of Aflibercept Injection ?,0000024-7,side effects,
6,What to do in case of emergency or overdose of Aflibercept Injection ?,0000024-8,emergency or overdose,
7,What other information should I know about Aflibercept Injection ?,0000024-9,other information,
8,What are the brand names of Aflibercept Injection ?,0000024-10,brand names,
0,Who should get Albendazole and why is it prescribed ?,0000025-1,indication,
1,How should Albendazole be used and what is the dosage ?,0000025-2,usage,
2,Are there safety concerns or special precautions about Albendazole ?,0000025-4,precautions,
3,What special dietary instructions should I follow with Albendazole ?,0000025-5,dietary,
4,What should I do if I forget a dose of Albendazole ?,0000025-6,forget a dose,
5,What are the side effects or risks of Albendazole ?,0000025-7,side effects,
6,What should I know about storage and disposal of Albendazole ?,0000025-8,storage and disposal,
7,What to do in case of emergency or overdose of Albendazole ?,0000025-9,emergency or overdose,
8,What other information should I know about Albendazole ?,0000025-10,other information,
9,What are the brand names of Albendazole ?,0000025-11,brand names,
0,What important warning or information should I know about Albiglutide Injection ?,0000026-1,important warning,
1,Who should get Albiglutide Injection and why is it prescribed ?,0000026-2,indication,
2,How should Albiglutide Injection be used and what is the dosage ?,0000026-3,usage,
3,Are there safety concerns or special precautions about Albiglutide Injection ?,0000026-5,precautions,
4,What special dietary instructions should I follow with Albiglutide Injection ?,0000026-6,dietary,
5,What should I do if I forget a dose of Albiglutide Injection ?,0000026-7,forget a dose,
6,What are the side effects or risks of Albiglutide Injection ?,0000026-8,side effects,
7,What should I know about storage and disposal of Albiglutide Injection ?,0000026-9,storage and disposal,
8,What to do in case of emergency or overdose of Albiglutide Injection ?,0000026-10,emergency or overdose,
9,What other information should I know about Albiglutide Injection ?,0000026-11,other information,
10,What are the brand names of Albiglutide Injection ?,0000026-12,brand names,
0,Who should get Albuterol and why is it prescribed ?,0000027-1,indication,
1,How should Albuterol be used and what is the dosage ?,0000027-2,usage,
2,Are there safety concerns or special precautions about Albuterol ?,0000027-4,precautions,
3,What special dietary instructions should I follow with Albuterol ?,0000027-5,dietary,
4,What should I do if I forget a dose of Albuterol ?,0000027-6,forget a dose,
5,What are the side effects or risks of Albuterol ?,0000027-7,side effects,
6,What should I know about storage and disposal of Albuterol ?,0000027-8,storage and disposal,
7,What to do in case of emergency or overdose of Albuterol ?,0000027-9,emergency or overdose,
8,What other information should I know about Albuterol ?,0000027-10,other information,
9,What are the brand names of Albuterol ?,0000027-11,brand names,
0,Who should get Albuterol and Ipratropium Oral Inhalation and why is it prescribed ?,0000028-1,indication,
1,How should Albuterol and Ipratropium Oral Inhalation be used and what is the dosage ?,0000028-2,usage,
2,Are there safety concerns or special precautions about Albuterol and Ipratropium Oral Inhalation ?,0000028-4,precautions,
3,What special dietary instructions should I follow with Albuterol and Ipratropium Oral Inhalation ?,0000028-5,dietary,
4,What should I do if I forget a dose of Albuterol and Ipratropium Oral Inhalation ?,0000028-6,forget a dose,
5,What are the side effects or risks of Albuterol and Ipratropium Oral Inhalation ?,0000028-7,side effects,
6,What should I know about storage and disposal of Albuterol and Ipratropium Oral Inhalation ?,0000028-8,storage and disposal,
7,What to do in case of emergency or overdose of Albuterol and Ipratropium Oral Inhalation ?,0000028-9,emergency or overdose,
8,What other information should I know about Albuterol and Ipratropium Oral Inhalation ?,0000028-10,other information,
9,What are the brand names of combination products of Albuterol and Ipratropium Oral Inhalation ?,0000028-11,brand names of combination products,
0,Who should get Albuterol Oral Inhalation and why is it prescribed ?,0000029-1,indication,
1,How should Albuterol Oral Inhalation be used and what is the dosage ?,0000029-2,usage,
2,Are there safety concerns or special precautions about Albuterol Oral Inhalation ?,0000029-4,precautions,
3,What should I do if I forget a dose of Albuterol Oral Inhalation ?,0000029-5,forget a dose,
4,What are the side effects or risks of Albuterol Oral Inhalation ?,0000029-6,side effects,
5,What should I know about storage and disposal of Albuterol Oral Inhalation ?,0000029-7,storage and disposal,
6,What to do in case of emergency or overdose of Albuterol Oral Inhalation ?,0000029-8,emergency or overdose,
7,What other information should I know about Albuterol Oral Inhalation ?,0000029-9,other information,
8,What are the brand names of Albuterol Oral Inhalation ?,0000029-10,brand names,
0,Who should get Alcaftadine Ophthalmic and why is it prescribed ?,0000030-1,indication,
1,How should Alcaftadine Ophthalmic be used and what is the dosage ?,0000030-2,usage,
2,Are there safety concerns or special precautions about Alcaftadine Ophthalmic ?,0000030-4,precautions,
3,What special dietary instructions should I follow with Alcaftadine Ophthalmic ?,0000030-5,dietary,
4,What should I do if I forget a dose of Alcaftadine Ophthalmic ?,0000030-6,forget a dose,
5,What are the side effects or risks of Alcaftadine Ophthalmic ?,0000030-7,side effects,
6,What should I know about storage and disposal of Alcaftadine Ophthalmic ?,0000030-8,storage and disposal,
7,What other information should I know about Alcaftadine Ophthalmic ?,0000030-9,other information,
8,What are the brand names of Alcaftadine Ophthalmic ?,0000030-10,brand names,
0,What important warning or information should I know about Aldesleukin ?,0000031-1,important warning,
1,Who should get Aldesleukin and why is it prescribed ?,0000031-2,indication,
2,How should Aldesleukin be used and what is the dosage ?,0000031-3,usage,
3,Are there safety concerns or special precautions about Aldesleukin ?,0000031-5,precautions,
4,What special dietary instructions should I follow with Aldesleukin ?,0000031-6,dietary,
5,What are the side effects or risks of Aldesleukin ?,0000031-7,side effects,
6,What to do in case of emergency or overdose of Aldesleukin ?,0000031-8,emergency or overdose,
7,What other information should I know about Aldesleukin ?,0000031-9,other information,
8,What are the brand names of Aldesleukin ?,0000031-10,brand names,
0,Who should get Alectinib and why is it prescribed ?,0000032-1,indication,
1,How should Alectinib be used and what is the dosage ?,0000032-2,usage,
2,Are there safety concerns or special precautions about Alectinib ?,0000032-4,precautions,
3,What special dietary instructions should I follow with Alectinib ?,0000032-5,dietary,
4,What should I do if I forget a dose of Alectinib ?,0000032-6,forget a dose,
5,What are the side effects or risks of Alectinib ?,0000032-7,side effects,
6,What should I know about storage and disposal of Alectinib ?,0000032-8,storage and disposal,
7,What to do in case of emergency or overdose of Alectinib ?,0000032-9,emergency or overdose,
8,What other information should I know about Alectinib ?,0000032-10,other information,
9,What are the brand names of Alectinib ?,0000032-11,brand names,
0,What important warning or information should I know about Alemtuzumab Injection ?,0000033-1,important warning,
1,Who should get Alemtuzumab Injection and why is it prescribed ?,0000033-2,indication,
2,How should Alemtuzumab Injection be used and what is the dosage ?,0000033-3,usage,
3,Are there safety concerns or special precautions about Alemtuzumab Injection ?,0000033-5,precautions,
4,What special dietary instructions should I follow with Alemtuzumab Injection ?,0000033-6,dietary,
5,What are the side effects or risks of Alemtuzumab Injection ?,0000033-7,side effects,
6,What to do in case of emergency or overdose of Alemtuzumab Injection ?,0000033-8,emergency or overdose,
7,What other information should I know about Alemtuzumab Injection ?,0000033-9,other information,
8,What are the brand names of Alemtuzumab Injection ?,0000033-10,brand names,
0,Who should get Alendronate and why is it prescribed ?,0000034-1,indication,
1,How should Alendronate be used and what is the dosage ?,0000034-2,usage,
2,Are there safety concerns or special precautions about Alendronate ?,0000034-4,precautions,
3,What special dietary instructions should I follow with Alendronate ?,0000034-5,dietary,
4,What should I do if I forget a dose of Alendronate ?,0000034-6,forget a dose,
5,What are the side effects or risks of Alendronate ?,0000034-7,side effects,
6,What should I know about storage and disposal of Alendronate ?,0000034-8,storage and disposal,
7,What to do in case of emergency or overdose of Alendronate ?,0000034-9,emergency or overdose,
8,What other information should I know about Alendronate ?,0000034-10,other information,
9,What are the brand names of Alendronate ?,0000034-11,brand names,
10,What are the brand names of combination products of Alendronate ?,0000034-12,brand names of combination products,
0,Who should get Alfuzosin and why is it prescribed ?,0000035-1,indication,
1,How should Alfuzosin be used and what is the dosage ?,0000035-2,usage,
2,Are there safety concerns or special precautions about Alfuzosin ?,0000035-4,precautions,
3,What special dietary instructions should I follow with Alfuzosin ?,0000035-5,dietary,
4,What should I do if I forget a dose of Alfuzosin ?,0000035-6,forget a dose,
5,What are the side effects or risks of Alfuzosin ?,0000035-7,side effects,
6,What should I know about storage and disposal of Alfuzosin ?,0000035-8,storage and disposal,
7,What to do in case of emergency or overdose of Alfuzosin ?,0000035-9,emergency or overdose,
8,What other information should I know about Alfuzosin ?,0000035-10,other information,
9,What are the brand names of Alfuzosin ?,0000035-11,brand names,
0,Who should get Alirocumab Injection and why is it prescribed ?,0000036-1,indication,
1,How should Alirocumab Injection be used and what is the dosage ?,0000036-2,usage,
2,Are there safety concerns or special precautions about Alirocumab Injection ?,0000036-4,precautions,
3,What special dietary instructions should I follow with Alirocumab Injection ?,0000036-5,dietary,
4,What should I do if I forget a dose of Alirocumab Injection ?,0000036-6,forget a dose,
5,What are the side effects or risks of Alirocumab Injection ?,0000036-7,side effects,
6,What should I know about storage and disposal of Alirocumab Injection ?,0000036-8,storage and disposal,
7,What to do in case of emergency or overdose of Alirocumab Injection ?,0000036-9,emergency or overdose,
8,What other information should I know about Alirocumab Injection ?,0000036-10,other information,
9,What are the brand names of Alirocumab Injection ?,0000036-11,brand names,
0,What important warning or information should I know about Aliskiren ?,0000037-1,important warning,
1,Who should get Aliskiren and why is it prescribed ?,0000037-2,indication,
2,How should Aliskiren be used and what is the dosage ?,0000037-3,usage,
3,Are there safety concerns or special precautions about Aliskiren ?,0000037-5,precautions,
4,What special dietary instructions should I follow with Aliskiren ?,0000037-6,dietary,
5,What should I do if I forget a dose of Aliskiren ?,0000037-7,forget a dose,
6,What are the side effects or risks of Aliskiren ?,0000037-8,side effects,
7,What should I know about storage and disposal of Aliskiren ?,0000037-9,storage and disposal,
8,What to do in case of emergency or overdose of Aliskiren ?,0000037-10,emergency or overdose,
9,What other information should I know about Aliskiren ?,0000037-11,other information,
10,What are the brand names of Aliskiren ?,0000037-12,brand names,
11,What are the brand names of combination products of Aliskiren ?,0000037-13,brand names of combination products,
0,Who should get Alitretinoin and why is it prescribed ?,0000038-1,indication,
1,How should Alitretinoin be used and what is the dosage ?,0000038-2,usage,
2,Are there safety concerns or special precautions about Alitretinoin ?,0000038-3,precautions,
3,What should I do if I forget a dose of Alitretinoin ?,0000038-4,forget a dose,
4,What are the side effects or risks of Alitretinoin ?,0000038-5,side effects,
5,What should I know about storage and disposal of Alitretinoin ?,0000038-6,storage and disposal,
6,What other information should I know about Alitretinoin ?,0000038-7,other information,
7,What are the brand names of Alitretinoin ?,0000038-8,brand names,
0,Who should get Allopurinol and why is it prescribed ?,0000039-1,indication,
1,How should Allopurinol be used and what is the dosage ?,0000039-2,usage,
2,Are there safety concerns or special precautions about Allopurinol ?,0000039-4,precautions,
3,What special dietary instructions should I follow with Allopurinol ?,0000039-5,dietary,
