,question,question_id,question_type,answer
6,What are the complications of Achondroplasia ?,0000050-7,complications,
7,Do I need to see a doctor for Achondroplasia ?,0000050-8,when to contact a medical professional,
8,How to prevent Achondroplasia ?,0000050-9,prevention,
0,Do you have information about Acid loading test (pH),0000051-1,information,
0,Do you have information about Acid mucopolysaccharides,0000052-1,information,
0,Do you have information about Acid soldering flux poisoning,0000053-1,information,
0,Do you have information about Acid-fast stain,0000054-1,information,
0,What is (are) Acidosis ?,0000055-1,information,
1,What causes Acidosis ?,0000055-2,causes,
2,What are the symptoms of Acidosis ?,0000055-3,symptoms,
3,How to diagnose Acidosis ?,0000055-4,exams and tests,
4,What are the treatments for Acidosis ?,0000055-5,treatment,
5,What is the outlook for Acidosis ?,0000055-6,outlook,
6,What are the complications of Acidosis ?,0000055-7,complications,
7,Do I need to see a doctor for Acidosis ?,0000055-8,when to contact a medical professional,
8,How to prevent Acidosis ?,0000055-9,prevention,
0,Do you have information about ACL reconstruction,0000056-1,information,
0,Do you have information about ACL reconstruction - discharge,0000057-1,information,
0,What is (are) Acne ?,0000058-1,information,
1,What causes Acne ?,0000058-2,causes,
2,What are the symptoms of Acne ?,0000058-3,symptoms,
3,How to diagnose Acne ?,0000058-4,exams and tests,
4,What are the treatments for Acne ?,0000058-5,treatment,
5,What is the outlook for Acne ?,0000058-6,outlook,
6,Do I need to see a doctor for Acne ?,0000058-7,when to contact a medical professional,
0,What is (are) Acne - self-care ?,0000059-1,information,
1,What are the treatments for Acne - self-care ?,0000059-4,treatment,
2,Do I need to see a doctor for Acne - self-care ?,0000059-5,when to contact a medical professional,
0,What is (are) Acoustic neuroma ?,0000060-1,information,
1,What causes Acoustic neuroma ?,0000060-2,causes,
2,What are the symptoms of Acoustic neuroma ?,0000060-3,symptoms,
3,How to diagnose Acoustic neuroma ?,0000060-4,exams and tests,
4,What are the treatments for Acoustic neuroma ?,0000060-5,treatment,
5,What is the outlook for Acoustic neuroma ?,0000060-6,outlook,
6,What are the complications of Acoustic neuroma ?,0000060-7,complications,
7,Do I need to see a doctor for Acoustic neuroma ?,0000060-8,when to contact a medical professional,
0,What is (are) Acoustic trauma ?,0000061-1,information,
1,What causes Acoustic trauma ?,0000061-2,causes,
2,What are the symptoms of Acoustic trauma ?,0000061-3,symptoms,
3,How to diagnose Acoustic trauma ?,0000061-4,exams and tests,
4,What are the treatments for Acoustic trauma ?,0000061-5,treatment,
5,What is the outlook for Acoustic trauma ?,0000061-6,outlook,
6,What are the complications of Acoustic trauma ?,0000061-7,complications,
7,Do I need to see a doctor for Acoustic trauma ?,0000061-8,when to contact a medical professional,
8,How to prevent Acoustic trauma ?,0000061-9,prevention,
0,What is (are) Acquired platelet function defect ?,0000062-1,information,
1,What causes Acquired platelet function defect ?,0000062-2,causes,
2,What are the symptoms of Acquired platelet function defect ?,0000062-3,symptoms,
3,How to diagnose Acquired platelet function defect ?,0000062-4,exams and tests,
4,What are the treatments for Acquired platelet function defect ?,0000062-5,treatment,
5,What is the outlook for Acquired platelet function defect ?,0000062-6,outlook,
6,What are the complications of Acquired platelet function defect ?,0000062-7,complications,
7,Do I need to see a doctor for Acquired platelet function defect ?,0000062-8,when to contact a medical professional,
8,How to prevent Acquired platelet function defect ?,0000062-9,prevention,
0,What is (are) Acrodermatitis ?,0000063-1,information,
1,What causes Acrodermatitis ?,0000063-2,causes,
2,What are the symptoms of Acrodermatitis ?,0000063-3,symptoms,
3,How to diagnose Acrodermatitis ?,0000063-4,exams and tests,
4,What are the treatments for Acrodermatitis ?,0000063-5,treatment,
5,What is the outlook for Acrodermatitis ?,0000063-6,outlook,
6,What are the complications of Acrodermatitis ?,0000063-7,complications,
7,Do I need to see a doctor for Acrodermatitis ?,0000063-8,when to contact a medical professional,
0,What is (are) Acrodysostosis ?,0000064-1,information,
1,What causes Acrodysostosis ?,0000064-2,causes,
2,What are the symptoms of Acrodysostosis ?,0000064-3,symptoms,
3,How to diagnose Acrodysostosis ?,0000064-4,exams and tests,
4,What are the treatments for Acrodysostosis ?,0000064-5,treatment,
5,What is the outlook for Acrodysostosis ?,0000064-6,outlook,
6,What are the complications of Acrodysostosis ?,0000064-7,complications,
7,Do I need to see a doctor for Acrodysostosis ?,0000064-8,when to contact a medical professional,
8,How to prevent Acrodysostosis ?,0000064-9,prevention,
0,What is (are) Acromegaly ?,0000065-1,information,
1,What causes Acromegaly ?,0000065-2,causes,
2,What are the symptoms of Acromegaly ?,0000065-3,symptoms,
3,How to diagnose Acromegaly ?,0000065-4,exams and tests,
4,What are the treatments for Acromegaly ?,0000065-5,treatment,
5,What is the outlook for Acromegaly ?,0000065-6,outlook,
6,Do I need to see a doctor for Acromegaly ?,0000065-7,when to contact a medical professional,
7,How to prevent Acromegaly ?,0000065-8,prevention,
0,Do you have information about ACTH (cosyntropin) stimulation test,0000066-1,information,
0,Do you have information about ACTH blood test,0000067-1,information,
0,What is (are) Actinic keratosis ?,0000068-1,information,
1,What causes Actinic keratosis ?,0000068-2,causes,
2,What are the symptoms of Actinic keratosis ?,0000068-3,symptoms,
3,How to diagnose Actinic keratosis ?,0000068-4,exams and tests,
4,What are the treatments for Actinic keratosis ?,0000068-5,treatment,
5,What is the outlook for Actinic keratosis ?,0000068-6,outlook,
6,Do I need to see a doctor for Actinic keratosis ?,0000068-7,when to contact a medical professional,
7,How to prevent Actinic keratosis ?,0000068-8,prevention,
0,What is (are) Actinomycosis ?,0000069-1,information,
1,What causes Actinomycosis ?,0000069-2,causes,
2,What are the symptoms of Actinomycosis ?,0000069-3,symptoms,
3,How to diagnose Actinomycosis ?,0000069-4,exams and tests,
4,What are the treatments for Actinomycosis ?,0000069-5,treatment,
5,What is the outlook for Actinomycosis ?,0000069-6,outlook,
6,What are the complications of Actinomycosis ?,0000069-7,complications,
7,Do I need to see a doctor for Actinomycosis ?,0000069-8,when to contact a medical professional,
8,How to prevent Actinomycosis ?,0000069-9,prevention,
0,Do you have information about Acute,0000070-1,information,
0,What is (are) Acute adrenal crisis ?,0000071-1,information,
1,What causes Acute adrenal crisis ?,0000071-2,causes,
2,What are the symptoms of Acute adrenal crisis ?,0000071-3,symptoms,
3,How to diagnose Acute adrenal crisis ?,0000071-4,exams and tests,
4,What are the treatments for Acute adrenal crisis ?,0000071-5,treatment,
5,What is the outlook for Acute adrenal crisis ?,0000071-6,outlook,
6,Do I need to see a doctor for Acute adrenal crisis ?,0000071-7,when to contact a medical professional,
7,How to prevent Acute adrenal crisis ?,0000071-8,prevention,
0,What is (are) Acute arterial occlusion - kidney ?,0000072-1,information,
1,What causes Acute arterial occlusion - kidney ?,0000072-2,causes,
2,What are the symptoms of Acute arterial occlusion - kidney ?,0000072-3,symptoms,
3,How to diagnose Acute arterial occlusion - kidney ?,0000072-4,exams and tests,
4,What are the treatments for Acute arterial occlusion - kidney ?,0000072-5,treatment,
5,What is the outlook for Acute arterial occlusion - kidney ?,0000072-6,outlook,
6,What are the complications of Acute arterial occlusion - kidney ?,0000072-7,complications,
7,Do I need to see a doctor for Acute arterial occlusion - kidney ?,0000072-8,when to contact a medical professional,
8,How to prevent Acute arterial occlusion - kidney ?,0000072-9,prevention,
0,What is (are) Acute cerebellar ataxia ?,0000073-1,information,
1,What causes Acute cerebellar ataxia ?,0000073-2,causes,
2,What are the symptoms of Acute cerebellar ataxia ?,0000073-3,symptoms,
3,How to diagnose Acute cerebellar ataxia ?,0000073-4,exams and tests,
4,What are the treatments for Acute cerebellar ataxia ?,0000073-5,treatment,
5,What is the outlook for Acute cerebellar ataxia ?,0000073-6,outlook,
6,What are the complications of Acute cerebellar ataxia ?,0000073-7,complications,
7,Do I need to see a doctor for Acute cerebellar ataxia ?,0000073-8,when to contact a medical professional,
0,What is (are) Acute cholecystitis ?,0000074-1,information,
1,What causes Acute cholecystitis ?,0000074-2,causes,
2,What are the symptoms of Acute cholecystitis ?,0000074-3,symptoms,
3,How to diagnose Acute cholecystitis ?,0000074-4,exams and tests,
4,What are the treatments for Acute cholecystitis ?,0000074-5,treatment,
5,What is the outlook for Acute cholecystitis ?,0000074-6,outlook,
6,What are the complications of Acute cholecystitis ?,0000074-7,complications,
7,Do I need to see a doctor for Acute cholecystitis ?,0000074-8,when to contact a medical professional,
8,How to prevent Acute cholecystitis ?,0000074-9,prevention,
0,What is (are) Acute coronary syndrome ?,0000075-1,information,
1,What causes Acute coronary syndrome ?,0000075-2,causes,
2,What are the symptoms of Acute coronary syndrome ?,0000075-3,symptoms,
3,How to diagnose Acute coronary syndrome ?,0000075-4,exams and tests,
4,What are the treatments for Acute coronary syndrome ?,0000075-5,treatment,
5,What is the outlook for Acute coronary syndrome ?,0000075-6,outlook,
6,What are the complications of Acute coronary syndrome ?,0000075-7,complications,
7,Do I need to see a doctor for Acute coronary syndrome ?,0000075-8,when to contact a medical professional,
8,How to prevent Acute coronary syndrome ?,0000075-9,prevention,
0,What is (are) Acute cytomegalovirus (CMV) infection ?,0000076-1,information,
1,What causes Acute cytomegalovirus (CMV) infection ?,0000076-2,causes,
2,What are the symptoms of Acute cytomegalovirus (CMV) infection ?,0000076-3,symptoms,
3,How to diagnose Acute cytomegalovirus (CMV) infection ?,0000076-4,exams and tests,
4,What are the treatments for Acute cytomegalovirus (CMV) infection ?,0000076-5,treatment,
5,What is the outlook for Acute cytomegalovirus (CMV) infection ?,0000076-6,outlook,
6,What are the complications of Acute cytomegalovirus (CMV) infection ?,0000076-7,complications,
7,Do I need to see a doctor for Acute cytomegalovirus (CMV) infection ?,0000076-8,when to contact a medical professional,
8,How to prevent Acute cytomegalovirus (CMV) infection ?,0000076-9,prevention,
0,What is (are) Acute kidney failure ?,0000077-1,information,
1,What causes Acute kidney failure ?,0000077-2,causes,
2,What are the symptoms of Acute kidney failure ?,0000077-3,symptoms,
3,How to diagnose Acute kidney failure ?,0000077-4,exams and tests,
4,What are the treatments for Acute kidney failure ?,0000077-5,treatment,
5,Do I need to see a doctor for Acute kidney failure ?,0000077-6,when to contact a medical professional,
6,How to prevent Acute kidney failure ?,0000077-7,prevention,
0,What is (are) Acute lymphoblastic leukemia (ALL) ?,0000078-1,information,
1,What causes Acute lymphoblastic leukemia (ALL) ?,0000078-2,causes,
2,What are the symptoms of Acute lymphoblastic leukemia (ALL) ?,0000078-3,symptoms,
3,How to diagnose Acute lymphoblastic leukemia (ALL) ?,0000078-4,exams and tests,
4,What are the treatments for Acute lymphoblastic leukemia (ALL) ?,0000078-5,treatment,
5,Where to find support for people with Acute lymphoblastic leukemia (ALL) ?,0000078-6,support groups,
6,What is the outlook for Acute lymphoblastic leukemia (ALL) ?,0000078-7,outlook,
7,What are the complications of Acute lymphoblastic leukemia (ALL) ?,0000078-8,complications,
8,Do I need to see a doctor for Acute lymphoblastic leukemia (ALL) ?,0000078-9,when to contact a medical professional,
9,How to prevent Acute lymphoblastic leukemia (ALL) ?,0000078-10,prevention,
0,What is (are) Acute mountain sickness ?,0000079-1,information,
1,What causes Acute mountain sickness ?,0000079-2,causes,
2,What are the symptoms of Acute mountain sickness ?,0000079-3,symptoms,
3,How to diagnose Acute mountain sickness ?,0000079-4,exams and tests,
4,What are the treatments for Acute mountain sickness ?,0000079-5,treatment,
5,What is the outlook for Acute mountain sickness ?,0000079-6,outlook,
6,What are the complications of Acute mountain sickness ?,0000079-7,complications,
7,Do I need to see a doctor for Acute mountain sickness ?,0000079-8,when to contact a medical professional,
8,How to prevent Acute mountain sickness ?,0000079-9,prevention,
0,What is (are) Acute myelogenous leukemia (AML) - children ?,0000080-1,information,
1,What causes Acute myelogenous leukemia (AML) - children ?,0000080-2,causes,
2,What are the symptoms of Acute myelogenous leukemia (AML) - children ?,0000080-3,symptoms,
3,How to diagnose Acute myelogenous leukemia (AML) - children ?,0000080-4,exams and tests,
4,What are the treatments for Acute myelogenous leukemia (AML) - children ?,0000080-5,treatment,
5,Where to find support for people with Acute myelogenous leukemia (AML) - children ?,0000080-6,support groups,
6,What is the outlook for Acute myelogenous leukemia (AML) - children ?,0000080-7,outlook,
7,What are the complications of Acute myelogenous leukemia (AML) - children ?,0000080-8,complications,
8,Do I need to see a doctor for Acute myelogenous leukemia (AML) - children ?,0000080-9,when to contact a medical professional,
9,How to prevent Acute myelogenous leukemia (AML) - children ?,0000080-10,prevention,
0,What is (are) Acute myeloid leukemia ?,0000081-1,information,
1,What causes Acute myeloid leukemia ?,0000081-2,causes,
2,What are the symptoms of Acute myeloid leukemia ?,0000081-3,symptoms,
3,How to diagnose Acute myeloid leukemia ?,0000081-4,exams and tests,
4,What are the treatments for Acute myeloid leukemia ?,0000081-5,treatment,
5,Where to find support for people with Acute myeloid leukemia ?,0000081-6,support groups,
6,What is the outlook for Acute myeloid leukemia ?,0000081-7,outlook,
7,Do I need to see a doctor for Acute myeloid leukemia ?,0000081-8,when to contact a medical professional,
8,How to prevent Acute myeloid leukemia ?,0000081-9,prevention,
0,What is (are) Acute nephritic syndrome ?,0000082-1,information,
1,What causes Acute nephritic syndrome ?,0000082-2,causes,
2,What are the symptoms of Acute nephritic syndrome ?,0000082-3,symptoms,
3,How to diagnose Acute nephritic syndrome ?,0000082-4,exams and tests,
4,What are the treatments for Acute nephritic syndrome ?,0000082-5,treatment,
5,Where to find support for people with Acute nephritic syndrome ?,0000082-6,support groups,
6,What is the outlook for Acute nephritic syndrome ?,0000082-7,outlook,
7,Do I need to see a doctor for Acute nephritic syndrome ?,0000082-8,when to contact a medical professional,
8,How to prevent Acute nephritic syndrome ?,0000082-9,prevention,
0,What is (are) Acute pancreatitis ?,0000083-1,information,
1,What causes Acute pancreatitis ?,0000083-2,causes,
2,What are the symptoms of Acute pancreatitis ?,0000083-3,symptoms,
3,How to diagnose Acute pancreatitis ?,0000083-4,exams and tests,
4,What are the treatments for Acute pancreatitis ?,0000083-5,treatment,
5,What is the outlook for Acute pancreatitis ?,0000083-6,outlook,
6,What are the complications of Acute pancreatitis ?,0000083-7,complications,
7,Do I need to see a doctor for Acute pancreatitis ?,0000083-8,when to contact a medical professional,
8,How to prevent Acute pancreatitis ?,0000083-9,prevention,
0,What is (are) Acute respiratory distress syndrome ?,0000084-1,information,
1,What causes Acute respiratory distress syndrome ?,0000084-2,causes,
2,What are the symptoms of Acute respiratory distress syndrome ?,0000084-3,symptoms,
3,How to diagnose Acute respiratory distress syndrome ?,0000084-4,exams and tests,
4,What are the treatments for Acute respiratory distress syndrome ?,0000084-5,treatment,
5,Where to find support for people with Acute respiratory distress syndrome ?,0000084-6,support groups,
6,What is the outlook for Acute respiratory distress syndrome ?,0000084-7,outlook,
7,What are the complications of Acute respiratory distress syndrome ?,0000084-8,complications,
8,Do I need to see a doctor for Acute respiratory distress syndrome ?,0000084-9,when to contact a medical professional,
0,What is (are) Acute tubular necrosis ?,0000085-1,information,
1,What causes Acute tubular necrosis ?,0000085-2,causes,
2,What are the symptoms of Acute tubular necrosis ?,0000085-3,symptoms,
3,How to diagnose Acute tubular necrosis ?,0000085-4,exams and tests,
4,What are the treatments for Acute tubular necrosis ?,0000085-5,treatment,
5,What is the outlook for Acute tubular necrosis ?,0000085-6,outlook,
6,Do I need to see a doctor for Acute tubular necrosis ?,0000085-7,when to contact a medical professional,
7,How to prevent Acute tubular necrosis ?,0000085-8,prevention,
0,What is (are) Addison disease ?,0000086-1,information,
1,What causes Addison disease ?,0000086-2,causes,
2,What are the symptoms of Addison disease ?,0000086-3,symptoms,
3,How to diagnose Addison disease ?,0000086-4,exams and tests,
4,What are the treatments for Addison disease ?,0000086-5,treatment,
5,What is the outlook for Addison disease ?,0000086-6,outlook,
6,What are the complications of Addison disease ?,0000086-7,complications,
7,Do I need to see a doctor for Addison disease ?,0000086-8,when to contact a medical professional,
0,Do you have information about Adenoid removal,0000087-1,information,
0,What is (are) Adenomyosis ?,0000088-1,information,
1,What causes Adenomyosis ?,0000088-2,causes,
